Modelo,Accuracy,ROC_AUC,F1
AdaBoost,0.8048261178140526,0.843150171794673,0.5877061469265368
GradientBoosting,0.7991483321504613,0.8426825802784881,0.5769805680119582
RandomForest,0.7920511000709723,0.8267818853496602,0.5620328849028401
Bagging,0.7877927608232789,0.8128251827740319,0.5622254758418741
DecisionTree,0.7423704755145494,0.6627799736495389,0.504774897680764
