Distrito;Nome;display_name;quantidade;soma;media;desvpad popul;desvpad_amostral;QTLINBUS2018;KMLINBUS2018;QTPONTBUS2018;QTESTMETRO2018;RENDP2010;ARE1;POP2018;DENPOP2018;DOMP2018;ESTAB2016;EMP2016;PNBRAN2010;TEMP2010_5MIN;TEMP2010_30MIN;TEMP2010_60MIN;TEMP2010_120MIN;TEMP2010_121MIN;TEMP2010_0MIN;PDOMC2010;PDOMM2010
355030827;Cursino;UberX;9067;2029380;223;108,3351354;108,347085;66;197,378;211;1;1487,73;12,05;112963;9374,522822;38776;2301;23032;0,246874083;0,02;0,11;0,13;0,04;0;0,7;0,092720297;0,647420021
355030828;Ermelino Matarazzo;UberX;7073;1659180;234;140,8024576;140,8223674;44;207,666;192;0;635,16;8,95;117821;13164,35754;38191;1487;13715;0,430891375;0,02;0,09;0,12;0,11;0,02;0,65;0,071615985;0,482846344
355030829;Freguesia do Ó;UberX;7587;1687200;222;97,46909978;97,48194833;142;398,779;282;0;975,95;11,09;140561;12674,57169;47046;2553;28921;0,300259262;0,02;0,1;0,14;0,08;0,01;0,66;0,097025426;0,576880199
355030830;Grajaú;UberX;60282;34686240;575;320,0373489;320,042658;129;671,531;518;0;450,7;92,53;384203;4152,199287;121062;2051;20887;0,569185016;0,01;0,05;0,09;0,11;0,07;0,67;0,099279367;0,374959224
355030831;Guaianases;UberX;6790;1669680;245;110,5489155;110,565199;86;265,878;167;0;515,6;8,66;108449;12522,97921;34668;802;7141;0,515510212;0,01;0,06;0,1;0,12;0,03;0,69;0,070232863;0,387187487
355030833;Iguatemi;UberX;14949;5701020;381;179,5073869;179,5193957;63;279,327;172;0;426,41;19,57;145317;7425,498212;45037;815;6990;0,509587818;0,02;0,05;0,09;0,12;0,06;0,65;0,079879698;0,427324499
355030834;Ipiranga;UberX;8022;1502940;187;76,81548415;76,82506095;126;418,291;304;3;1526,75;11,01;111265;10105,8129;40002;4187;61329;0,220542393;0,02;0,13;0,11;0,05;0,01;0,69;0,094961506;0,589866415
355030835;Itaim Bibi;UberX;7220;1336740;185;83,37658635;83,38813595;159;605,204;218;0;4134,27;10,02;96561;9636,826347;42612;13979;322760;0,0829767;0,03;0,17;0,12;0,04;0,01;0,63;0,088074006;0,81492016
355030836;Itaim Paulista;UberX;9249;2041680;220;93,96772439;93,97788526;62;360,833;316;0;435,01;12,22;232620;19036,00655;73280;1748;21182;0,548824464;0,02;0,06;0,08;0,13;0,04;0,68;0,070000051;0,374436335
355030837;Itaquera;UberX;11285;2126520;188;77,59851316;77,60539002;212;809,567;456;1;620,46;14,64;210158;14355,05464;66410;2335;29334;0,458360387;0,01;0,08;0,12;0,1;0,02;0,67;0,084108825;0,490717791
355030838;Jabaquara;UberX;10397;2163180;208;90,95884184;90,96759125;107;478,51;364;2;1233,39;14,06;228281;16236,20199;79533;4033;64374;0,344471411;0,02;0,11;0,15;0,07;0,01;0,65;0,090579425;0,573456094
355030839;Jaçanã;UberX;5567;1229700;220;100,1887753;100,2067754;221;757,577;369;2;707,65;25,69;288748;11239,70417;97300;1062;14456;0,359120168;0,01;0,08;0,13;0,1;0,02;0,65;0,110925763;0,402598834
355030840;Jaguara;UberX;3513;775440;220;95,43539672;95,46257081;80;184,284;205;0;979,61;7,42;95812;12912,66846;30033;788;24002;0,259048002;0,02;0,11;0,12;0,08;0,01;0,66;0,102737073;0,478192536
355030841;Jaguaré;UberX;5034;1104000;219;100,4851109;100,5050762;37;123,88;83;0;1212,47;4,55;24131;5303,516484;8082;1119;32456;0,346389106;0,03;0,16;0,12;0,06;0,01;0,62;0,103487796;0,628241808
