word,n
pretty,33
perfectly,16
glad,15
honor,13
quiet,11
astonished,10
free,10
powerful,10
ready,10
refund,10
comfortable,8
excited,8
mighty,7
noble,7
bright,6
safe,6
soft,6
comfort,5
excitement,5
celebrated,4
cleared,4
fine,4
gentle,4
harmless,4
luck,4
proud,4
solid,4
support,4
worth,4
